,Wymiar 1,Jednostka miary,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
56,prowadzone przez powiat,osoba,,,,,31.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,prowadzone przez powiat,wol.,,,,,121586.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,prowadzone przez powiat,osoba,,,,,8381.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,prowadzone przez powiat,wol.,,,,,71336.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,prowadzone przez powiat,ob.,,,,,1.0,0.0,0.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
61,biblioteki publiczne,szt.,,,,,,,,,,,,,,108,116,123,131,137,142,139,133,131,132,130,141,141,112,117,119,121
62,biblioteki publiczne,szt.,,,,,,,,,,,,,,42,45,50,53,56,61,61,60,57,57,56,55,46,33,32,25,22
63,biblioteki publiczne,szt.,,,,,,,,,,,,,,89,91,96,47,48,52,,,,,,,,,,,
64,biblioteki publiczne,szt.,,,,,,,,,,,,,,42,44,44,41,42,48,,,,,,,,,,,
65,biblioteki publiczne,szt.,,,,,,,,,,,,,,42,45,50,,,,,,,,,,,,,,
66,biblioteki publiczne,szt.,,,,,,,,,,,,,,5,21,18,19,25,25,,,,,,,,,,,
67,biblioteki publiczne,szt.,,,,,,,,,,,,,,91,99,112,115,132,132,,,,,,,,,,,
68,biblioteki publiczne,szt.,,,,,,,,,,,,,,42,45,50,47,56,61,61,60,57,57,56,55,46,33,32,25,22
69,biblioteki publiczne,szt.,,,,,,,,,,,,,,,,,,,,15,14,12,12,12,,,,,,
70,biblioteki publiczne,szt.,,,,,,,,,,,,,,,,,,,,0,3,1,0,0,,,,,,
71,biblioteki publiczne,ob.,,,,,,,,,,,,,,,,,,,,3,4,4,3,3,3,3,3,2,3,3
72,biblioteki publiczne,ob.,,,,,,,,,,,,,,,,,,,,15,15,13,12,12,12,12,12,12,12,12
73,biblioteki publiczne,ob.,,,,,,,,,,,,,,,,,,,,15,15,14,12,12,12,12,12,12,12,12
74,biblioteki publiczne,ob.,,,,,,,,,,,,,,,,,,,,14,14,13,12,12,12,12,12,12,12,12
75,"biblioteki naukowe, fachowe, pedagogiczne, fachowo-beletrystyczne, towarzystw naukowych, o?r. inf. naukowej, technicznej i ekonomicznej",szt.,,,,,,,,,,,,,196,,224,,220,226,216,214,210,215,205,192,193,173,174,173,178,158
76,"biblioteki naukowe, fachowe, pedagogiczne, fachowo-beletrystyczne, towarzystw naukowych, o?r. inf. naukowej, technicznej i ekonomicznej",szt.,,,,,,,,,,,,,129,,142,,127,130,123,161,162,130,134,118,104,101,101,100,100,103
77,"biblioteki naukowe, fachowe, pedagogiczne, fachowo-beletrystyczne, towarzystw naukowych, o?r. inf. naukowej, technicznej i ekonomicznej",szt.,,,,,,,,,,,,,88,,193,,65,68,64,,,,,,,,,,,
78,"biblioteki naukowe, fachowe, pedagogiczne, fachowo-beletrystyczne, towarzystw naukowych, o?r. inf. naukowej, technicznej i ekonomicznej",szt.,,,,,,,,,,,,,40,,123,,,,,,,,,,,,,,,
79,"biblioteki naukowe, fachowe, pedagogiczne, fachowo-beletrystyczne, towarzystw naukowych, o?r. inf. naukowej, technicznej i ekonomicznej",szt.,,,,,,,,,,,,,,,,,26,28,25,,,,,,,,,,,
80,"biblioteki naukowe, fachowe, pedagogiczne, fachowo-beletrystyczne, towarzystw naukowych, o?r. inf. naukowej, technicznej i ekonomicznej",szt.,,,,,,,,,,,,,181,,188,,171,178,168,,,,,,,,,,,
81,"biblioteki naukowe, fachowe, pedagogiczne, fachowo-beletrystyczne, towarzystw naukowych, o?r. inf. naukowej, technicznej i ekonomicznej",szt.,,,,,,,,,,,,,125,,108,,86,90,84,115,105,106,100,85,89,94,94,93,91,95
82,"biblioteki naukowe, fachowe, pedagogiczne, fachowo-beletrystyczne, towarzystw naukowych, o?r. inf. naukowej, technicznej i ekonomicznej",szt.,,,,,,,,,,,,,,,,,,,,8,6,6,6,5,,,,,,
83,"biblioteki naukowe, fachowe, pedagogiczne, fachowo-beletrystyczne, towarzystw naukowych, o?r. inf. naukowej, technicznej i ekonomicznej",szt.,,,,,,,,,,,,,,,,,,,,3,4,4,4,3,,,,,,
84,"biblioteki naukowe, fachowe, pedagogiczne, fachowo-beletrystyczne, towarzystw naukowych, o?r. inf. naukowej, technicznej i ekonomicznej",ob.,,,,,,,,,,,,,,,,,,,,3,5,5,5,4,3,5,5,5,5,5
85,"biblioteki naukowe, fachowe, pedagogiczne, fachowo-beletrystyczne, towarzystw naukowych, o?r. inf. naukowej, technicznej i ekonomicznej",ob.,,,,,,,,,,,,,,,,,,,,3,7,5,5,6,7,7,7,7,7,7
86,"biblioteki naukowe, fachowe, pedagogiczne, fachowo-beletrystyczne, towarzystw naukowych, o?r. inf. naukowej, technicznej i ekonomicznej",ob.,,,,,,,,,,,,,,,,,,,,6,6,6,7,6,6,6,6,6,5,6
87,"biblioteki naukowe, fachowe, pedagogiczne, fachowo-beletrystyczne, towarzystw naukowych, o?r. inf. naukowej, technicznej i ekonomicznej",ob.,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5,6,6,6,6,6
88,na zewn?trz,wol.,,,,,,,,,,,,,160938,,118851,,108121,82812,93533,66605,71437,64485,60502,55290,52622,46976,45393,49521,54067,61992
89,na zewn?trz,szt.,,,,,,,,,,,,,1121,,3780,,7015,56936,3974,4470,5044,5558,4926,5139,5248,3711,3311,3591,3573,3264
90,na miejscu,wol.,,,,,,,,,,,,,265345,,235057,,222749,204555,153821,128881,120105,96926,78378,66238,43180,14659,11800,17442,22833,45302
91,na miejscu,szt.,,,,,,,,,,,,,1497,,2979,,234,226,928,121,191,70,735,730,19,0,2,0,3,2
92,wypo?yczenia do bibliotek krajowych,wol.,,,,,,,,,,,,,157,,33,,63,44,38,27,35,14,53,36,63,49,61,80,174,304
93,wypo?yczenia do bibliotek zagranicznych,wol.,,,,,,,,,,,,,4,,7,,0,0,0,0,0,0,0,0,0,0,0,0,2,1
94,wypo?yczenia z bibliotek zagranicznych,wol.,,,,,,,,,,,,,0,,0,,376,0,0,0,0,0,0,0,0,0,0,0,0,0
95,wypo?yczenia z bibliotek zagranicznych,-,,,,,,,,,,,,,,,,,22,0,0,0,0,0,0,0,,,,,,
