Kategoria;Grupa;Podgrupa (wymiary);Wymiar 1;Wymiar 2;Jednostka miary;"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";
"KULTURA ";"BIBLIOTEKI";"Biblioteki publiczne wg organu prowadzącego (Wymiary: Organ prowadzący; Biblioteki)";"prowadzone przez gminę / miasto na prawach powiatu";"pracownicy bibliotek (działalności podstawowej)";"osoba";;;;;0;50;50;50;50;50;49;51;52;54;56;79;80;79;81;80;83;81;83;80;66;63;62;65;63;64;
"KULTURA ";"BIBLIOTEKI";"Biblioteki publiczne wg organu prowadzącego (Wymiary: Organ prowadzący; Biblioteki)";"prowadzone przez gminę / miasto na prawach powiatu";"księgozbiór";"wol.";;;;;0;402887;383522;394872;398798;401799;405253;407749;377987;375014;373020;375007;361442;350637;346622;351215;356278;349295;346907;337682;341612;338035;337429;332922;329259;327463;
"KULTURA ";"BIBLIOTEKI";"Biblioteki publiczne wg organu prowadzącego (Wymiary: Organ prowadzący; Biblioteki)";"prowadzone przez gminę / miasto na prawach powiatu";"czytelnicy w ciągu roku";"osoba";;;;;0;26953;27138;27095;27424;27309;27068;25906;24533;23350;24659;24529;25130;25434;29443;28661;27206;25101;24313;24736;23539;19575;19528;19369;21338;21185;
"KULTURA ";"BIBLIOTEKI";"Biblioteki publiczne wg organu prowadzącego (Wymiary: Organ prowadzący; Biblioteki)";"prowadzone przez gminę / miasto na prawach powiatu";"wypożyczenia księgozbioru na zewnątrz";"wol.";;;;;0;367520;364650;362279;384467;388285;391519;371479;364583;351485;354083;363635;370736;376542;439666;430103;414287;395134;386062;393186;402627;301171;355084;368414;386173;396144;
"KULTURA ";"BIBLIOTEKI";"Biblioteki publiczne wg organu prowadzącego (Wymiary: Organ prowadzący; Biblioteki)";"prowadzone przez gminę / miasto na prawach powiatu";"wypożyczenia zbiorów audiowizualnych na zewnątrz";"szt.";;;;;;;;;;;;;;;;;;;;;;5504;9760;11881;13880;9677;11517;11956;11847;13185;
"KULTURA ";"BIBLIOTEKI";"Biblioteki publiczne wg organu prowadzącego (Wymiary: Organ prowadzący; Biblioteki)";"prowadzone przez gminę / miasto na prawach powiatu";"punkty biblioteczne ogółem";"ob.";;;;;0;3;4;4;4;5;5;5;5;4;3;2;2;2;2;3;3;3;3;3;2;2;1;1;0;0;
"KULTURA ";"BIBLIOTEKI";"Biblioteki publiczne wg organu prowadzącego (Wymiary: Organ prowadzący; Biblioteki)";"prowadzone przez gminę / miasto na prawach powiatu";"obiekty przystosowane dla osób poruszających się na wózkach inwalidzkich";"ob.";;;;;0;2;2;3;3;3;4;4;4;4;4;;;;;;;;;;;;;;;;
"KULTURA ";"BIBLIOTEKI";"Biblioteki publiczne wg organu prowadzącego (Wymiary: Organ prowadzący; Biblioteki)";"prowadzone przez gminę / miasto na prawach powiatu";"obiekty przystosowane dla osób niepełnosprawnych poruszających się na wózkach inwalidzkich: wejście do budynku";"ob.";;;;;;;;;;;;;;;;5;6;9;9;9;9;10;9;9;9;;;;;;
"KULTURA ";"BIBLIOTEKI";"Biblioteki publiczne wg organu prowadzącego (Wymiary: Organ prowadzący; Biblioteki)";"prowadzone przez gminę / miasto na prawach powiatu";"obiekty przystosowane dla osób niepełnosprawnych poruszających się na wózkach inwalidzkich: udogodnienia wewnątrz budynku";"ob.";;;;;;;;;;;;;;;;1;2;4;4;4;4;5;5;5;5;;;;;;
"KULTURA ";"BIBLIOTEKI";"Biblioteki publiczne wg organu prowadzącego (Wymiary: Organ prowadzący; Biblioteki)";"prowadzone przez gminę / miasto na prawach powiatu";"obiekty przystosowane do potrzeb osób niepełnosprawnych";"ob.";;;;;;;;;;;;;;;;;;;;;;;;;;9;9;8;8;9;
"KULTURA ";"BIBLIOTEKI";"Biblioteki publiczne wg organu prowadzącego (Wymiary: Organ prowadzący; Biblioteki)";"prowadzone przez gminę / miasto na prawach powiatu";"obiekty przystosowane do potrzeb osób niepełnosprawnych: wejście do budynku";"ob.";;;;;;;;;;;;;;;;;;;;;;;;;;9;9;8;8;9;
"KULTURA ";"BIBLIOTEKI";"Biblioteki publiczne wg organu prowadzącego (Wymiary: Organ prowadzący; Biblioteki)";"prowadzone przez gminę / miasto na prawach powiatu";"obiekty przystosowane do potrzeb osób niepełnosprawnych: udogodnienia wewnątrz budynku";"ob.";;;;;;;;;;;;;;;;;;;;;;;;;;6;5;5;5;6;
"KULTURA ";"BIBLIOTEKI";"Biblioteki publiczne wg organu prowadzącego (Wymiary: Organ prowadzący; Biblioteki)";"prowadzone przez powiat";"biblioteki";"ob.";;;;;1;0;;;;;;;;;;;;;;;;;;;;;;;;;
"KULTURA ";"BIBLIOTEKI";"Biblioteki publiczne wg organu prowadzącego (Wymiary: Organ prowadzący; Biblioteki)";"prowadzone przez powiat";"pracownicy bibliotek (działalności podstawowej)";"osoba";;;;;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
"KULTURA ";"BIBLIOTEKI";"Biblioteki publiczne wg organu prowadzącego (Wymiary: Organ prowadzący; Biblioteki)";"prowadzone przez powiat";"księgozbiór";"wol.";;;;;121586;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
"KULTURA ";"BIBLIOTEKI";"Biblioteki publiczne wg organu prowadzącego (Wymiary: Organ prowadzący; Biblioteki)";"prowadzone przez powiat";"czytelnicy w ciągu roku";"osoba";;;;;8381;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
"KULTURA ";"BIBLIOTEKI";"Biblioteki publiczne wg organu prowadzącego (Wymiary: Organ prowadzący; Biblioteki)";"prowadzone przez powiat";"wypożyczenia księgozbioru na zewnątrz";"wol.";;;;;71336;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
"KULTURA ";"BIBLIOTEKI";"Biblioteki publiczne wg organu prowadzącego (Wymiary: Organ prowadzący; Biblioteki)";"prowadzone przez powiat";"obiekty przystosowane dla osób poruszających się na wózkach inwalidzkich";"ob.";;;;;1;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
"KULTURA ";"BIBLIOTEKI";"Komputeryzacja bibliotek (Wymiary: Rodzaje bibliotek; Komputery)";"biblioteki publiczne";"komputery użytkowane w bibliotece ogółem";"szt.";;;;;;;;;;;;;;108;116;123;131;137;142;139;133;131;132;130;141;141;112;117;119;121;
"KULTURA ";"BIBLIOTEKI";"Komputeryzacja bibliotek (Wymiary: Rodzaje bibliotek; Komputery)";"biblioteki publiczne";"komputery użytkowane w bibliotece dostępne dla czytelników";"szt.";;;;;;;;;;;;;;42;45;50;53;56;61;61;60;57;57;56;55;46;33;32;25;22;
"KULTURA ";"BIBLIOTEKI";"Komputeryzacja bibliotek (Wymiary: Rodzaje bibliotek; Komputery)";"biblioteki publiczne";"komputery wykorzystywane do prac biblioteczno - bibliograficznych ogółem";"szt.";;;;;;;;;;;;;;89;91;96;47;48;52;;;;;;;;;;;;
"KULTURA ";"BIBLIOTEKI";"Komputeryzacja bibliotek (Wymiary: Rodzaje bibliotek; Komputery)";"biblioteki publiczne";"komputery wykorzystywane do prac w zakresie gromadzenia i/lub opracowywania biblioteczno - bibliograficznego";"szt.";;;;;;;;;;;;;;42;44;44;41;42;48;;;;;;;;;;;;
"KULTURA ";"BIBLIOTEKI";"Komputeryzacja bibliotek (Wymiary: Rodzaje bibliotek; Komputery)";"biblioteki publiczne";"komputery wykorzystywane do prac biblioteczno - bibliograficznych - terminale katalogowe dla czytelników";"szt.";;;;;;;;;;;;;;42;45;50;;;;;;;;;;;;;;;
"KULTURA ";"BIBLIOTEKI";"Komputeryzacja bibliotek (Wymiary: Rodzaje bibliotek; Komputery)";"biblioteki publiczne";"komputery wykorzystywane do prac biblioteczno - bibliograficznych - do ewidencji czytelników i udostępnień";"szt.";;;;;;;;;;;;;;5;21;18;19;25;25;;;;;;;;;;;;
"KULTURA ";"BIBLIOTEKI";"Komputeryzacja bibliotek (Wymiary: Rodzaje bibliotek; Komputery)";"biblioteki publiczne";"komputery podłączone do Internetu";"szt.";;;;;;;;;;;;;;91;99;112;115;132;132;;;;;;;;;;;;
"KULTURA ";"BIBLIOTEKI";"Komputeryzacja bibliotek (Wymiary: Rodzaje bibliotek; Komputery)";"biblioteki publiczne";"komputery podłączone do Internetu dostępne dla czytelników";"szt.";;;;;;;;;;;;;;42;45;50;47;56;61;61;60;57;57;56;55;46;33;32;25;22;
"KULTURA ";"BIBLIOTEKI";"Komputeryzacja bibliotek (Wymiary: Rodzaje bibliotek; Komputery)";"biblioteki publiczne";"biblioteki, które umożliwiają podłączenie komputera (urządzenia mobilnego) użytkownika do gniazda elektrycznego";"szt.";;;;;;;;;;;;;;;;;;;;15;14;12;12;12;;;;;;;
"KULTURA ";"BIBLIOTEKI";"Komputeryzacja bibliotek (Wymiary: Rodzaje bibliotek; Komputery)";"biblioteki publiczne";"biblioteki, które umożliwiają podłączenie komputera (urządzenia mobilnego) użytkownika do gniazda internetowego";"szt.";;;;;;;;;;;;;;;;;;;;0;3;1;0;0;;;;;;;
"KULTURA ";"BIBLIOTEKI";"Komputeryzacja bibliotek (Wymiary: Rodzaje bibliotek; Komputery)";"biblioteki publiczne";"biblioteki, które umożliwiają korzystanie z Internetu bezprzewodowego";"ob.";;;;;;;;;;;;;;;;;;;;3;4;4;3;3;3;3;3;2;3;3;
